,DateTimeInterval,LotNumber,ActiveCarsCount
169884,2023-01-25 08:00:00,50,93
1031395,2021-10-14 16:00:00,90,0
229387,2021-03-13 13:00:00,10,39
1087881,2023-11-26 05:00:00,94,0
516000,2023-08-05 11:00:00,3,12
302738,2025-03-27 19:00:00,11,131
719923,2025-03-19 01:00:00,4,0
949273,2021-01-28 00:00:00,65,0
474593,2023-03-14 05:00:00,99,1
438970,2023-06-18 23:00:00,13,4
798483,2021-03-10 06:00:00,34,2
423429,2021-09-09 10:00:00,13,81
167129,2022-10-02 13:00:00,50,126
434408,2022-12-10 21:00:00,13,6
296677,2024-07-18 06:00:00,11,125
114243,2021-01-18 00:00:00,70,125
404518,2023-11-11 12:00:00,6,1
324355,2023-05-17 11:00:00,20,53
1049692,2023-11-16 01:00:00,90,0
573265,2021-06-20 10:00:00,33,0
83122,2021-10-29 08:00:00,80,176
514137,2023-05-19 20:00:00,3,10
290940,2023-11-22 05:00:00,11,60
227983,2021-01-14 01:00:00,10,15
888755,2022-10-30 12:00:00,8,4
400431,2023-05-25 05:00:00,6,24
29733,2024-05-23 21:00:00,21,28
942915,2024-09-05 03:00:00,51,2
103016,2024-02-05 06:00:00,80,207
470677,2022-10-02 01:00:00,99,1
820047,2023-08-25 18:00:00,34,2
823968,2024-02-05 03:00:00,34,0
362758,2023-06-05 13:00:00,60,13
249867,2023-07-14 21:00:00,10,43
571923,2021-04-25 12:00:00,33,1
129583,2022-10-19 04:00:00,70,123
124842,2022-04-04 15:00:00,70,65
901929,2024-05-01 10:00:00,8,28
841712,2021-10-16 10:00:00,18,0
971593,2023-08-16 00:00:00,65,0
398811,2023-03-18 17:00:00,6,39
615166,2021-12-02 06:00:00,14,10
1086100,2023-09-13 00:00:00,94,0
1010084,2023-09-07 18:00:00,38,0
252818,2023-11-14 20:00:00,10,51
951789,2021-05-12 20:00:00,65,0
6312,2021-09-21 00:00:00,21,43
465445,2022-02-26 01:00:00,99,2
707845,2023-11-01 19:00:00,4,1
842862,2021-12-03 08:00:00,18,17
878213,2021-08-17 06:00:00,8,1
902165,2024-05-11 06:00:00,8,6
709182,2023-12-27 12:00:00,4,14
174501,2023-08-05 17:00:00,50,126
23721,2023-09-16 09:00:00,21,1
1099042,2025-03-05 06:00:00,94,0
199332,2022-02-05 07:00:00,30,125
